Config: Config(web3=<web3.main.Web3 object at 0x7fadcc7fddf0>, rpc_url='http://localhost:4444', holding_token=Token(contract=<web3._utils.datatypes.Contract object at 0x7fadcc795f40>, address='0x2e6B1d146064613E8f521Eb3c6e65070af964EbB', chain_id=30, name='Sovryn Mynt', symbol='MYNT', decimals=18), holding_token_liquidity_pool_address='0x3a18e61D9C9f1546DeA013478DD653c793098f17', reward_token=Token(contract=<web3._utils.datatypes.Contract object at 0x7fadcc795f40>, address='0x2e6B1d146064613E8f521Eb3c6e65070af964EbB', chain_id=30, name='Sovryn Mynt', symbol='MYNT', decimals=18), rewarder_account_address='0x98B94f8aC1246609a7F0F8A5ec72F5aeb789bA4e', total_reward_amount_wei=1111112053928883000000000, min_reward_wei=10000000000000000000, snapshot_block_number=3976082, first_scanned_block_number=3831000, liquidity_mining_address='0xf730af26e87D9F55E46A6C447ED2235C385E55e0')
Rewarder account 0x98B94f8aC1246609a7F0F8A5ec72F5aeb789bA4e
Reward token balance:   1111112.053884732000000000 MYNT
Next nonce: 1

Preparing to send Airdrop:
To address                                                 Reward in MYNT     TX Nonce TX Hash
0x345FC578Bf09985912Ca35bD8dc14db7ced43c4D        3743.350984291392677326           30 
0xdc161C454eA8782ccD60DE7Af5D618175F52CA69        3615.710079167201323433           31 
0xd85E2711Ea7A20e533c65b26d7Af156EBb6e2656        3446.242570312750153593           32 
0xBaD588ECF79be361c07861856d849D062362f104        3438.457524178012574582           33 
0x3Cf9A21987aADA929A2A9513e98aB81335f82648        3365.272908645836127608           34 
0xe481E042fe482477Ca1D0228F03aE8B8af440Dac        3353.868990416530288586           35 
0xb8C78a31B3204EA34e4C27bB227ea47785aaFd09         3345.35450891221294271           36 
0x756Df16077E0BeDceE99fA216B4Fb05CEa23FD4B        3231.618721970102914742           37 
0xFE4B04ADe5478F3B649614221CDCc43EE31fA27e        3207.653952928849226268           38 
0xd86076A23c589B5288a65F570BCfD925C972F266        3031.886879578863355923           39 
0x60721C2Bc3788010ba8F1EBccB43322dFBfE487F        3023.209254866910640295           40 
0xCc0e69E2d8E7B88165281bD2736770E1F4e2A52D        3021.476302542941340617           41 
0x48A28813a018d394EeFef10b7E9c5C2B55D1e645        3007.903830530259745877           42 
0xAFE46aF83f9a749E3c96029472946b197034f829        2986.937040101083120165           43 
0x4B397Cd9c3bF69211ED91D7C0D065fD68A42D263        2835.874844509935787677           44 
0x6488B9b595d510b0724E9F552B1CbA22d197eb4E        2696.876258320886388819           45 
0x5d42369F784479cBeeA545fbf378d53734aeBAE8        2661.526366388128693964           46 
0xcED4C7FF9bDc8aF4108488B02d2b408A4Fd7f558        2657.057477359302946723           47 
0x0E5b9194B4EC1D638C63068C293806123e5B7DBf        2630.888649676286508529           48 
0x3C8cf14750960925Ed386F837657632318B83494        2623.835744296436369391           49 
0x1aEB6A6dEb55E68e91B79048e95d1bEE06D8fF1F        2621.896501141890423766           50 
0x91479Dba4A5079C2031406f5a45F3b444981535a         2620.67819498178976337           51 
0x6AdA9c3e7E1630CaadeF1eB65D9499A7F453Ea37        2600.233428860753464273           52 
0x0E3B47cDC1Fee6D5e428C0cb3cc40a878aDE543e        2599.631230484803750302           53 
